"Assay",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax","grp"
"CD28","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,32,0.026,0.0614545454545455,"ns",5.5316,5,7,"CD19 CAR_EGFRvIII CAR"
"CD28","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,28,0.132,0.245142857142857,"ns",7.65316,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CD28","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,23,0.485,0.788125,"ns",9.77472,5,6,"CD19 CAR_CD19-SGRP CAR"
"CD28","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,8,0.132,0.2145,"ns",11.89628,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CD28","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,20,0.818,1,"ns",14.01784,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CRTAM","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,21,0.699,0.790173913043478,"ns",1.78348,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CRTAM","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,12,0.394,0.7657,"ns",3.90504,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CRTAM","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,13,0.485,0.573181818181818,"ns",6.0266,5,7,"CD19 CAR_EGFRvIII CAR"
"CRTAM","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,5,0.041,0.0969090909090909,"ns",8.14816,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CRTAM","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,25,0.31,0.732727272727273,"ns",10.26972,5,6,"CD19 CAR_CD19-SGRP CAR"
"CRTAM","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,9,0.18,0.246315789473684,"ns",12.39128,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CRTAM","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,9,0.18,0.39,"ns",14.51284,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CXCL1","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,9,0.18,0.246315789473684,"ns",3.41348,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CXCL1","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,25,0.31,0.7657,"ns",5.53504,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CXCL1","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,36,0.002,0.00742857142857143,"**",7.6566,5,7,"CD19 CAR_EGFRvIII CAR"
"CXCL1","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,36,0.002,0.0104,"*",9.77816,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CXCL1","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,17,0.937,0.97448,"ns",11.89972,5,6,"CD19 CAR_CD19-SGRP CAR"
